OS,Platform,CPU Cores,RAM,GPU Vendor,GPU,Resolution,Browser,IP Address,Continent,Country,Region,City,Organisation,ISP,Latitude,Longitude,Accuracy,Altitude,Direction,Speed
Linux x86_64,Linux x86_64,6,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x950,Firefox/78.0,46.161.192.138,Asia,Iraq,Baghdad Governorate,Baghdad,Valin Company for General Trading and Communication LTD,Valin Company for General Trading and Communication LTD,33 deg,44 deg,50000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,6,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x950,Firefox/78.0,46.161.192.138,Asia,Iraq,Baghdad Governorate,Baghdad,Valin Company for General Trading and Communication LTD,Valin Company for General Trading and Communication LTD,33 deg,44 deg,50000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,6,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x950,Firefox/78.0,46.161.192.138,Asia,Iraq,Baghdad Governorate,Baghdad,Valin Company for General Trading and Communication LTD,Valin Company for General Trading and Communication LTD,33 deg,44 deg,50000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,6,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x950,Firefox/78.0,46.161.192.138,Asia,Iraq,Baghdad Governorate,Baghdad,Valin Company for General Trading and Communication LTD,Valin Company for General Trading and Communication LTD,33 deg,44 deg,50000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,6,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x950,Firefox/78.0,46.161.192.138,Asia,Iraq,Baghdad Governorate,Baghdad,Valin Company for General Trading and Communication LTD,Valin Company for General Trading and Communication LTD,33 deg,44 deg,50000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,6,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x950,Firefox/78.0,46.161.192.138,Asia,Iraq,Baghdad Governorate,Baghdad,Valin Company for General Trading and Communication LTD,Valin Company for General Trading and Communication LTD,33 deg,44 deg,50000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,6,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x950,Firefox/78.0,46.161.192.138,Asia,Iraq,Baghdad Governorate,Baghdad,Valin Company for General Trading and Communication LTD,Valin Company for General Trading and Communication LTD,33 deg,44 deg,50000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,6,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x950,Firefox/78.0,46.161.192.138,Asia,Iraq,Baghdad Governorate,Baghdad,Valin Company for General Trading and Communication LTD,Valin Company for General Trading and Communication LTD,33 deg,44 deg,50000 m,Not Available,Not Available,Not Available
33 deg,44 deg,50000 m,Not Available,Not Available,Not Available
33 deg,44 deg,50000 m,Not Available,Not Available,Not Available
